gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,geetha.naik@example.com,7743601444,7384335855,IN,Mrs,Geetha,Naik,8390,Mirza Ghalib St,Shahjahanpur,Haryana,India,80047,-10.8144,-1.7239,+11:00,"Magadan, Solomon Islands, New Caledonia",af163138-8c73-42f0-a891-1724dff052e1,lazywolf451,donna1,m5mjfrwt,2e390e69ca6008d35d10dc8be36d703d,b2365254b4bcb79602eeb9ec7fd2e4508bbf4f41,14f5baab5c5038087ef857b9fefe10ea4e6d504d83047cd78f4186bc847a3f4a,1950-08-01T04:30:40.185Z,73,2009-01-13T09:19:10.018Z,14,UIDAI,691393796559,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg
female,deepika.tipparti@example.com,8159169308,8643701486,IN,Ms,Deepika,Tipparti,7889,Coaker's Walk,Chandigarh,Meghalaya,India,13371,-74.7786,97.1432,+2:00,"Kaliningrad, South Africa",0e73e51e-b82b-43c7-bf26-b43540ca0234,whiteostrich137,trinitro,opDm0ASD,5c37b1b2209fe188739433a106fb6a39,c9664329bd75738966f12e01205796cbffea6ed3,17ea6c46e4b2407bccca8d5ca8b5105a71b795a99dedb31b0b0f93da0e27fd9b,1985-08-11T01:28:12.336Z,38,2015-09-20T03:46:43.403Z,8,UIDAI,451833054505,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg
male,yagnesh.andrade@example.com,7895016328,7816626408,IN,Mr,Yagnesh,Andrade,2275,Mall Rd,Bhimavaram,Sikkim,India,49516,-41.9429,-10.7767,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",af95870a-f670-4a14-967f-a421b8a3be43,heavykoala944,rang,Pp17s92y,944076d746067a8f1db19ccd94bb3f31,9543565e29c00f78bd26234dc579b9c2b709a7a9,900442971ac6c97a8988a9260c75fb1dc8846e2e02c95704d4b11ca8a0a7cf46,1966-11-29T04:07:30.471Z,56,2008-11-04T15:03:52.169Z,14,UIDAI,484198140605,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg
female,shravya.nair@example.com,8568434188,8384915795,IN,Ms,Shravya,Nair,148,S.A Rd,Tiruppur,Karnataka,India,97048,7.0704,-125.9066,+1:00,"Brussels, Copenhagen, Madrid, Paris",64a3d8f9-b883-41a0-9aa8-92f4adf397ce,smallcat125,underdog,4oCoc48x,b4ddbfdc8203d3f8a7bd62841575292a,4fc86cf3e8f3d5b8f3d744e4748f6817df9199ec,8e06083f6bc101b1c015b7ecc931dc1a04c78d1624e229c0fcc8293166246532,1998-02-14T03:53:41.796Z,25,2009-12-26T01:38:50.323Z,13,UIDAI,309550905356,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg
male,aarush.jain@example.com,8613803217,7469660326,IN,Mr,Aarush,Jain,432,Ashoka Rd,Parbhani,Telangana,India,81779,80.7506,12.4729,-3:00,"Brazil, Buenos Aires, Georgetown",188795e8-1fd4-4af6-be05-afb723712e31,happybird413,welder,QLomGHuU,be7cb8cb11490591144fe3d95685fb07,11450e66f9b4a5a35dea5dd98bfdbee5bbc141f1,a518905b9735ccac69894f55fe21ac3bf173b22e9ecdca2751142e7a04a95f47,1958-10-13T22:56:53.811Z,64,2017-07-09T15:34:41.868Z,6,UIDAI,343586456238,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg
female,parimala.shukla@example.com,9056180702,8488522688,IN,Mrs,Parimala,Shukla,4277,Bandstand Promenade,Purnia,Tripura,India,14330,-60.5223,-111.4795,-8:00,Pacific Time (US & Canada),2c348890-43c4-4854-9a92-21dcf38cc9a7,tinygoose789,niceass,4Mqm7Cmd,5d79ffef6802cb90999f703c56374973,1c522a2f3a783249ecb84aae15846d19bb698300,ef6c1ae91b427613157ac75396c362fe4a26601a8db1733328eb9bac3f388f2a,1992-02-16T23:30:16.223Z,31,2021-07-01T05:17:02.266Z,2,UIDAI,774785726480,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg
male,lohit.prabhu@example.com,9361420563,7476335944,IN,Mr,Lohit,Prabhu,5375,Tripolia Bazar,Jammu,Delhi,India,80470,88.2616,-10.2567,+5:30,"Bombay, Calcutta, Madras, New Delhi",cf21ab79-3d76-4141-9b48-7fe2aae38e5f,purplebear980,shelley,CHvXPAtt,b2e984f23de58daae89ef54224f0f8b4,fcdc96168e27f4e15937f9282ffe9432c95fcaf4,e8c738627082c7aa8619e4bad304cb6aa94d4ceaa115596d65b385ce7d098acf,1992-04-08T05:31:25.335Z,31,2022-03-16T12:20:32.100Z,1,UIDAI,194023788834,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg
female,shona.chatterjee@example.com,8018773150,9649892708,IN,Miss,Shona,Chatterjee,732,Kazimar St,Barasat,Dadra and Nagar Haveli,India,88803,-65.0726,-125.7118,-8:00,Pacific Time (US & Canada),537b3d2c-2f07-4b76-9240-4f81df0c5074,bluekoala897,414141,djvC0cRR,4d086454bd2f24c7bc6bc3378833abe3,afc8acef270a92d038b7adf4feb44fde8c37d62a,ba55e7c4d77317cc7e08aaea22b3bb73d3ad1b1a4b526dab04884aebf567d38a,1988-05-30T19:48:41.206Z,35,2012-08-12T15:13:37.587Z,11,UIDAI,180915349413,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg
male,hitesh.dawangave@example.com,7156277833,8435380560,IN,Mr,Hitesh,Dawangave,3666,Racecource Rd,Bhubaneswar,Jammu and Kashmir,India,76301,25.6691,-0.8915,+3:30,Tehran,0a6af481-87cc-423e-92f7-dae4717d7b4a,silverelephant832,phish,yc3Mg2lB,c50fd8596b8cd12537115e916a7c719a,b3f32bf98a08a765887a37e0cb9f29ba7b557af1,f6f44752bfbd5fbb5546fa374d42a0f2be42d6956860cee8c74601f59270ac9f,1963-10-04T20:39:29.648Z,59,2006-07-22T22:40:53.109Z,17,UIDAI,962182226772,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg
male,akshay.nagane@example.com,8368184612,9628274761,IN,Mr,Akshay,Nagane,2123,Ashoka Rd,Nellore,Lakshadweep,India,15521,-80.1226,164.5054,-12:00,"Eniwetok, Kwajalein",e13bd376-e062-4d65-89f7-9af3366af572,biglion674,cole,dJEkGaHy,efa3ae937ad8d1970e5980290623c784,e6643e23cddb09fcf9aa54348dad9e4a431a13f3,a4cb91383ef17314d409485614bfac27fe153d844822a3741dc0868868b7fbc1,1994-01-21T22:16:36.094Z,29,2003-05-19T22:18:44.587Z,20,UIDAI,244654399634,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg
